note_id,comment_id,user_id,nickname,content,time,like_count,gender,ip_location,level
68084767000000001c02d965,6819cb67000000000b02d08a,678dbfc9000000000e013f29,真昼,请问零基础计算机该怎么自学，要听哪位老师的课，怎么刷题？,1970-01-01 08:00:00,0,未知,湖北,一级
68084767000000001c02d965,681a4757000000000103c5e2,665584940000000007004d90,星空物语,想好自己以后的方向，你要是能力强啥都能学的快，也行,1970-01-01 08:00:00,0,未知,湖南,二级
68084767000000001c02d965,681a8ec6000000000b01f3c6,678dbfc9000000000e013f29,真昼,好的谢谢,1970-01-01 08:00:00,0,未知,湖北,二级
68084767000000001c02d965,6813769e0000000004015f44,61ada48c000000001000bd3c,momo,太强了，无敌了，acm和科研两手抓 。太强了,1970-01-01 08:00:00,0,男性,江西,一级
68084767000000001c02d965,68122fb2000000001f00e04e,60c844e40000000020028672,65536,好牛[赞R],1970-01-01 08:00:00,0,男性,新加坡,一级
68084767000000001c02d965,6808e88600000000040198f5,585b0f8ca9b2ed4eff3b8df4,AI饭儿,中学拿过noi牌没？,1970-01-01 08:00:00,2,未知,北京,一级
68084767000000001c02d965,6808f03f000000001f018dfd,618fe930000000001000afe7,Tianxing Chen（陈天行）,没有，基本是大学0基础,1970-01-01 08:00:00,33,男性,上海,二级
68084767000000001c02d965,6808f821000000001f002753,66e45905000000001d033be1,Talkischeap,Noi 牌怎么可能去深大[汗颜R][笑哭R],1970-01-01 08:00:00,3,未知,美国,二级
68084767000000001c02d965,6808fa2800000000200153c0,618fe930000000001000afe7,Tianxing Chen（陈天行）,有的，强基计划了,1970-01-01 08:00:00,2,男性,上海,二级
68084767000000001c02d965,6808fa31000000001f01a7fe,618fe930000000001000afe7,Tianxing Chen（陈天行）,深大有个noi银牌的,1970-01-01 08:00:00,5,男性,上海,二级
68084767000000001c02d965,6808fb1b00000000200106ef,66e45905000000001d033be1,Talkischeap,我的天 🤦是我孤陋寡闻了,1970-01-01 08:00:00,0,未知,美国,二级
68084767000000001c02d965,68093392000000002001097f,643f6680000000002a00bc5b,小红薯643FF8B1,有个noi银，我学长，本来按协议是清华降一本录取的，但是最后清华毁约了,1970-01-01 08:00:00,11,未知,广东,二级
68084767000000001c02d965,680933d1000000001f00ca96,643f6680000000002a00bc5b,小红薯643FF8B1,最后只能来深大，他分数甚至不够上计算机系，只能先去的数学，后面转专业到计算机。真的挺可惜的,1970-01-01 08:00:00,4,未知,广东,二级
68084767000000001c02d965,680993260000000012021c15,643288a3000000000d01a12f,IEPO,清华毁约？名校也不守信用啊[石化R]有赔偿什么的吗[石化R],1970-01-01 08:00:00,2,未知,贵州,二级
68084767000000001c02d965,680993540000000020013201,618fe930000000001000afe7,Tianxing Chen（陈天行）,国家政策，没有办法,1970-01-01 08:00:00,0,男性,上海,二级
